id_resultado,id_colaborador,nome,matricula,sigla,dt_avaliacao,nome_papel,nome_tecnologia,letra_atributo,descricao_atributo,class_abrangencia_atributo,nome_abrangencia_atributo,descricao_abrangencia_atributo,class_complexidade_atributo,nome_complexidade_atributo,descricao_complexidade_atributo,class_impacto_atributo,nome_impacto_atributo,descricao_impacto_atributo,descricao_projeto,class_abrangencia_projeto,nome_abrangencia_projeto,class_complexidade_projeto,nome_complexidade_projeto,class_impacto_projeto,nome_impacto_projeto,pontuacao,ajuste,ociosidade,referencia_fct_atual
164,8,"Antonio Francisco Joaquim Neto Sobrinho",44444444,SDDEP,03/04/2018,"Front-end (Desenvolvimento) ",Angular,e,"Especificar unidades de implementação de software",1,Moderado,"Conhecimento da linguagem;
Dependência técnica;
Conhecimento parcial do negócio;",1,Moderada,"Atua no projeto com um perfil de forma plena;",1,Relevante,"Entrega no prazo e com qualidade (conforme especificado);","Desenvolvimento front-end.",1,Moderado,1,Moderada,1,Relevante,52.42,34.00,1.00,"18 - Analista (R$ 1299.54)"
164,8,"Antonio Francisco Joaquim Neto Sobrinho",44444444,SDDEP,03/04/2018,"Front-end (Desenvolvimento) ","Html/css (Desenv)",e,"Especificar unidades de implementação de software",1,Moderado,"Conhecimento da linguagem;
Dependência técnica;
Conhecimento parcial do negócio;",1,Moderada,"Atua no projeto com um perfil de forma plena;",1,Relevante,"Entrega no prazo e com qualidade (conforme especificado);","Desenvolvimento front-end.",1,Moderado,1,Moderada,1,Relevante,52.42,34.00,1.00,"18 - Analista (R$ 1299.54)"
164,8,"Antonio Francisco Joaquim Neto Sobrinho",44444444,SDDEP,03/04/2018,"Front-end (Desenvolvimento) ","Html/css (Design)",e,"Especificar unidades de implementação de software",1,Moderado,"Conhecimento da linguagem;
Dependência técnica;
Conhecimento parcial do negócio;",1,Moderada,"Atua no projeto com um perfil de forma plena;",1,Relevante,"Entrega no prazo e com qualidade (conforme especificado);","Desenvolvimento front-end.",1,Moderado,1,Moderada,1,Relevante,52.42,34.00,1.00,"18 - Analista (R$ 1299.54)"
164,8,"Antonio Francisco Joaquim Neto Sobrinho",44444444,SDDEP,03/04/2018,"Front-end (Desenvolvimento) ",Plone,e,"Especificar unidades de implementação de software",1,Moderado,"Conhecimento da linguagem;
Dependência técnica;
Conhecimento parcial do negócio;",1,Moderada,"Atua no projeto com um perfil de forma plena;",1,Relevante,"Entrega no prazo e com qualidade (conforme especificado);","Desenvolvimento front-end.",1,Moderado,1,Moderada,1,Relevante,52.42,34.00,1.00,"18 - Analista (R$ 1299.54)"
164,8,"Antonio Francisco Joaquim Neto Sobrinho",44444444,SDDEP,03/04/2018,"Front-end (Desenvolvimento) ",JavaScript,e,"Especificar unidades de implementação de software",1,Moderado,"Conhecimento da linguagem;
Dependência técnica;
Conhecimento parcial do negócio;",1,Moderada,"Atua no projeto com um perfil de forma plena;",1,Relevante,"Entrega no prazo e com qualidade (conforme especificado);","Desenvolvimento front-end.",1,Moderado,1,Moderada,1,Relevante,52.42,34.00,1.00,"18 - Analista (R$ 1299.54)"
164,8,"Antonio Francisco Joaquim Neto Sobrinho",44444444,SDDEP,03/04/2018,"Front-end (Desenvolvimento) ",Angular,f,"Elaborar documentação relativa às etapas de desenvolvimento de sistemas",1,Moderado,"Conhecimento da tecnologia(Unidade de implementação, documentação de API, UMLI);",1,Moderada,"Documentação Padrão(Manual de utilização);",1,Relevante,"Documentação é importante porém não é essencial para o andamento do projeto (pode ser feita em um segundo momento);","Desenvolvimento front-end.",1,Moderado,1,Moderada,1,Relevante,52.42,34.00,1.00,"18 - Analista (R$ 1299.54)"
164,8,"Antonio Francisco Joaquim Neto Sobrinho",44444444,SDDEP,03/04/2018,"Front-end (Desenvolvimento) ","Html/css (Desenv)",f,"Elaborar documentação relativa às etapas de desenvolvimento de sistemas",1,Moderado,"Conhecimento da tecnologia(Unidade de implementação, documentação de API, UMLI);",1,Moderada,"Documentação Padrão(Manual de utilização);",1,Relevante,"Documentação é importante porém não é essencial para o andamento do projeto (pode ser feita em um segundo momento);","Desenvolvimento front-end.",1,Moderado,1,Moderada,1,Relevante,52.42,34.00,1.00,"18 - Analista (R$ 1299.54)"
164,8,"Antonio Francisco Joaquim Neto Sobrinho",44444444,SDDEP,03/04/2018,"Front-end (Desenvolvimento) ","Html/css (Design)",f,"Elaborar documentação relativa às etapas de desenvolvimento de sistemas",1,Moderado,"Conhecimento da tecnologia(Unidade de implementação, documentação de API, UMLI);",1,Moderada,"Documentação Padrão(Manual de utilização);",1,Relevante,"Documentação é importante porém não é essencial para o andamento do projeto (pode ser feita em um segundo momento);","Desenvolvimento front-end.",1,Moderado,1,Moderada,1,Relevante,52.42,34.00,1.00,"18 - Analista (R$ 1299.54)"
164,8,"Antonio Francisco Joaquim Neto Sobrinho",44444444,SDDEP,03/04/2018,"Front-end (Desenvolvimento) ",Plone,f,"Elaborar documentação relativa às etapas de desenvolvimento de sistemas",1,Moderado,"Conhecimento da tecnologia(Unidade de implementação, documentação de API, UMLI);",1,Moderada,"Documentação Padrão(Manual de utilização);",1,Relevante,"Documentação é importante porém não é essencial para o andamento do projeto (pode ser feita em um segundo momento);","Desenvolvimento front-end.",1,Moderado,1,Moderada,1,Relevante,52.42,34.00,1.00,"18 - Analista (R$ 1299.54)"
164,8,"Antonio Francisco Joaquim Neto Sobrinho",44444444,SDDEP,03/04/2018,"Front-end (Desenvolvimento) ",JavaScript,f,"Elaborar documentação relativa às etapas de desenvolvimento de sistemas",1,Moderado,"Conhecimento da tecnologia(Unidade de implementação, documentação de API, UMLI);",1,Moderada,"Documentação Padrão(Manual de utilização);",1,Relevante,"Documentação é importante porém não é essencial para o andamento do projeto (pode ser feita em um segundo momento);","Desenvolvimento front-end.",1,Moderado,1,Moderada,1,Relevante,52.42,34.00,1.00,"18 - Analista (R$ 1299.54)"
